Outcome,Residuals
1,-0.08829032629728317
0,-0.003969193436205387
0,0.30006134510040283
0,-0.004388982430100441
1,0.2937167286872864
0,-0.0036059238482266665
1,-0.0037069497630000114
0,-0.0038260244764387608
1,-0.0034055097494274378
1,0.2881840467453003
1,0.3122687339782715
1,-0.5902844667434692
0,-0.3524317145347595
0,-0.0035358541645109653
0,-0.6915680170059204
1,-0.5347780585289001
0,-0.006872569210827351
1,-0.003542501712217927
0,-0.003921679686754942
1,-0.0035333954729139805
0,-0.003644912736490369
0,-0.6227340698242188
0,0.2809886932373047
0,0.9916632249951363
1,-0.004388649482280016
1,0.28404706716537476
1,-0.00421051075682044
0,-0.0031243020202964544
1,0.365628182888031
1,0.2941402792930603
1,-0.0038579374086111784
1,0.42694413661956787
1,-0.00367747456766665
0,-0.20302461087703705
1,-0.09144733846187592
1,0.2810736894607544
0,0.49775826930999756
1,0.612657219171524
0,-0.0036469639744609594
0,-0.40331509709358215
1,0.9901490742340684
0,-0.0035410579293966293
0,-0.0030082932207733393
1,-0.003619026392698288
0,-0.2858083248138428
0,-0.0031327877659350634
0,-0.00445142574608326
0,-0.22662325203418732
0,-0.004345702473074198
1,-0.004030486103147268
1,-0.007261889986693859
0,-0.004074578173458576
1,0.31201404333114624
1,-0.00346290017478168
0,-0.00337324570864439
0,-0.684654712677002
1,-0.6692319512367249
0,-0.045918501913547516
1,-0.7069262862205505
0,-0.008506587706506252
0,-0.004338751081377268
1,-0.0033590742386877537
0,-0.006699942983686924
1,-0.0033884223084896803
0,-0.0035790028050541878
0,-0.004059867933392525
1,-0.01631530560553074
1,-0.003742136061191559
0,-0.00897302944213152
0,-0.004456669557839632
0,-0.005098560359328985
0,-0.0035977745428681374
0,0.30896615982055664
0,-0.0045443084090948105
1,-0.003478971077129245
0,0.25917428731918335
0,0.7465666830539703
1,-0.0071354815736413
0,-0.0032392162829637527
0,-0.004094496835023165
0,-0.00404988881200552
0,-0.004385046195238829
1,-0.0031992599833756685
1,-0.003445772919803858
1,-0.7049915790557861
1,0.35027092695236206
0,-0.0032620758283883333
1,-0.0045111351646482944
0,-0.004052292089909315
0,-0.008774736896157265
1,-0.004801791161298752
1,0.30184924602508545
1,0.29639214277267456
1,0.2731853723526001
1,-0.003143771318718791
0,-0.0037060941103845835
0,-0.008053858764469624
0,-0.0036946041509509087
0,-0.0029279107693582773
0,-0.003361427690833807
0,-0.004342546686530113
1,-0.005160445347428322
0,-0.15747781097888947
1,-0.004307534079998732
0,-0.00550208380445838
0,-0.0035319251473993063
0,-0.12160515785217285
0,-0.011548109352588654
1,0.540735512971878
0,-0.0033931180369108915
0,-0.003858087817206979
1,-0.009904412552714348
1,0.5117340981960297
0,-0.6996161937713623
0,-0.003047824837267399
0,-0.004198852926492691
1,-0.003722917987033725
0,-0.7116647362709045
0,-0.004079077392816544
0,0.41956138610839844
0,-0.007746577262878418
0,-0.003579310839995742
1,0.3010154962539673
0,-0.0033622458577156067
1,-0.006743207108229399
0,-0.003769863164052367
0,0.26581597328186035
1,0.29225748777389526
1,0.9746621400117874
1,-0.003705449867993593
1,-0.008093329146504402
0,-0.1862560510635376
0,-0.00411146180704236
1,-0.0032089378219097853
0,-0.011363701894879341
0,-0.7060952186584473
0,-0.0031781692523509264
1,0.2831380367279053
0,-0.015037931501865387
0,-0.004871830809861422
0,0.2750563621520996
1,0.7131780982017517
1,0.30953454971313477
0,-0.6688369512557983
0,-0.25216251611709595
0,-0.003385468851774931
0,-0.05587092414498329
0,-0.0036377785727381706
0,-0.0038903297390788794
0,-0.004610066767781973
0,-0.005050855688750744
0,0.30194270610809326
1,-0.0031765110325068235
0,-0.6374136209487915
0,-0.0029744950588792562
1,-0.004041563719511032
1,-0.0038727172650396824
1,-0.002962276805192232
0,-0.003503246931359172
1,0.3006971478462219
0,-0.0038318661972880363
0,-0.6518954038619995
0,0.29372650384902954
1,-0.003233756870031357
0,-0.004321972373872995
0,-0.0036168433725833893
0,0.3151363730430603
0,-0.0037278172094374895
0,-0.0031164169777184725
0,-0.0035895109176635742
0,-0.0039117662236094475
0,-0.003397301770746708
0,-0.0032498829532414675
0,-0.003991629928350449
0,-0.0036513989325612783
0,-0.003574163420125842
0,-0.0035430726129561663
1,0.31680411100387573
0,-0.15505701303482056
1,0.3159326910972595
0,-0.004393706098198891
0,-0.004890856333076954
0,-0.4065902531147003
0,-0.003006311599165201
1,-0.015889344736933708
1,-0.004248462151736021
1,0.2721427083015442
1,-0.0034103160724043846
0,-0.004122253507375717
1,0.2923492193222046
0,-0.003478971077129245
0,-0.007641689386218786
1,0.28646641969680786
0,-0.003891800995916128
1,0.3330586552619934
1,-0.00353352352976799
1,-0.01228281669318676
0,-0.004002183675765991
0,-0.003596188500523567
0,-0.00909176655113697
0,-0.035196010023355484
0,-0.004274722188711166
0,-0.004183542914688587
0,-0.003869028761982918
1,-0.12815570831298828
0,-0.5813424587249756
0,-0.027686551213264465
1,-0.667527973651886
1,-0.003494927426800132
1,0.2788790464401245
1,-0.003718050429597497
1,-0.004470996093004942
1,0.26527637243270874
0,-0.0038395333103835583
0,-0.08210257440805435
0,-0.0038630019407719374
0,0.296375572681427
0,-0.5925860404968262
1,-0.00390293775126338
1,-0.003278507851064205
0,-0.0037080012261867523
1,-0.034106723964214325
1,-0.0043724155984818935
0,-0.0034351935610175133
0,-0.003731674049049616
0,-0.0035998879466205835
0,-0.028947006911039352
1,-0.003824657993391156
0,-0.07119125127792358
1,0.28142374753952026
